Time,STREAMLIT_RUN_ZONE::Des Heat Load [W],STREAMLIT_RUN_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Des Sens Cool Load [W],STREAMLIT_RUN_ZONE::Des Heat Mass Flow [kg/s],STREAMLIT_RUN_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Des Cool Mass Flow [kg/s],STREAMLIT_RUN_ZONE::Des Latent Heat Load [W],STREAMLIT_RUN_ZONE::Des Latent Cool Load [W],STREAMLIT_RUN_ZONE::Des Latent Heat Mass Flow [kg/s],STREAMLIT_RUN_ZONE::Des Latent Cool Mass Flow [kg/s],STREAMLIT_RUN_ZONE::Des Heat Load No DOAS [W],STREAMLIT_RUN_ZONE::Des Sens Cool Load No DOAS [W],STREAMLIT_RUN_ZONE::Des Latent Heat Load No DOAS [W],STREAMLIT_RUN_ZONE::Des Latent Cool Load No DOAS [W],STREAMLIT_RUN_ZONE::Heating Zone Temperature [C],STREAMLIT_RUN_ZONE::Heating Zone Relative Humidity [%],STREAMLIT_RUN_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Cooling Zone Temperature [C],STREAMLIT_RUN_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Cooling Zone Relative Humidity [%]
00:15:00,0.000000E+00,1.453325E+05,0.000000E+00,9.320336E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
00:30:00,0.000000E+00,1.453229E+05,0.000000E+00,9.319721E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
00:45:00,0.000000E+00,1.453136E+05,0.000000E+00,9.319126E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
01:00:00,0.000000E+00,1.453047E+05,0.000000E+00,9.318553E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
01:15:00,0.000000E+00,1.452963E+05,0.000000E+00,9.318011E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
01:30:00,0.000000E+00,1.452884E+05,0.000000E+00,9.317509E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
01:45:00,0.000000E+00,1.452813E+05,0.000000E+00,9.317050E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
02:00:00,0.000000E+00,1.452748E+05,0.000000E+00,9.316634E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
02:15:00,0.000000E+00,1.452689E+05,0.000000E+00,9.316254E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
02:30:00,0.000000E+00,1.452634E+05,0.000000E+00,9.315904E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.830000E+01,3.143310E+01
